ltspice_rx::signal_out[V(Saida)] (time),ltspice_rx::signal_out[V(Saida)] (signal)
0.0,0.23189353942871094
4.9999e-05,0.23189319670200348
4.999935013438108e-05,0.23189319670200348
4.9999700268762146e-05,0.23189319670200348
5.000000897646486e-05,0.23189319670200348
5.000027977183698e-05,0.23189319670200348
5.00005505672091e-05,0.23189319670200348
5.000131533427632e-05,0.23189319670200348
5.0002426534170126e-05,0.23189319670200348
5.000301725767675e-05,0.23189319670200348
5.000360505838542e-05,0.23189319670200348
5.000392139949309e-05,0.23189319670200348
5.0004237740600756e-05,0.23189319670200348
5.000459362507806e-05,0.23189319670200348
5.000491354087861e-05,0.23189319670200348
5.0005233456679166e-05,0.23189319670200348
5.0005492630615046e-05,0.23189319670200348
5.000629157727093e-05,0.23189319670200348
5.000709052392681e-05,0.23189319670200348
5.000935527629802e-05,0.23189319670200348
5.0011620028669235e-05,0.23189318180084229
5.002201683093052e-05,0.23189318180084229
5.003241363319181e-05,0.23189356923103333
5.0036696483759934e-05,0.23189455270767212
5.004547972879025e-05,0.23189817368984222
5.0050619149472e-05,0.2319038063287735
5.0057471710381e-05,0.2319200038909912
5.0071176832199e-05,0.23197370767593384
5.0075296417367815e-05,0.23199668526649475
5.0080042843702525e-05,0.23203951120376587
5.0086371412148806e-05,0.2321198433637619
5.009863526789133e-05,0.2323475182056427
5.01107924774398e-05,0.23264627158641815
5.011815079088531e-05,0.23293696343898773
5.012796187547933e-05,0.23346443474292755
5.0147584044667365e-05,0.23499654233455658
5.017140043634649e-05,0.23744133114814758
5.018317373785931e-05,0.2393350601196289
5.019887147320974e-05,0.24259692430496216
5.02302669439106e-05,0.2512405514717102
5.026042097830809e-05,0.2615082561969757
5.027925826072861e-05,0.27060389518737793
5.0304374637289295e-05,0.2855245769023895
5.0354607390410665e-05,0.32291796803474426
5.040424516890393e-05,0.3667339086532593
5.043423827555348e-05,0.4011741578578949
5.047422908441956e-05,0.4534066617488861
5.05542107021517e-05,0.5706425309181213
5.060702200253939e-05,0.6546526551246643
5.062057068878952e-05,0.6779711842536926
